Plate Map,Well,MoleculeID,Volume,Concentration,Unit,Well X,Well Y
SP40014,P20,D165-0193,10,10,m,20,16
SP40014,A21,2292-0704,10,10,m,21,1
SP40014,B21,3335-0275,10,10,m,21,2
SP40014,C21,4112-3769,10,10,m,21,3
SP40014,D21,4408-0539,10,10,m,21,4
SP40014,E21,5353-0857,10,10,m,21,5
SP40014,F21,7954-2452,10,10,m,21,6
SP40014,G21,C607-0828,10,10,m,21,7
SP40014,H21,C733-0079,10,10,m,21,8
SP40014,I21,C698-0553,10,10,m,21,9
SP40014,J21,C857-2025,10,10,m,21,10
SP40014,K21,D011-4138,10,10,m,21,11
SP40014,L21,D035-0172,10,10,m,21,12
SP40014,M21,D054-0003,10,10,m,21,13
SP40014,N21,D069-0235,10,10,m,21,14
SP40014,O21,D107-0191,10,10,m,21,15
SP40014,P21,D165-0036,10,10,m,21,16
SP40014,A22,2360-0053,10,10,m,22,1
SP40014,B22,3379-0456,10,10,m,22,2
SP40014,C22,4111-0134,10,10,m,22,3
SP40014,D22,4550-6092,10,10,m,22,4
SP40014,E22,5774-0080,10,10,m,22,5
SP40014,F22,8007-4735,10,10,m,22,6
SP40014,G22,C607-0769,10,10,m,22,7
SP40014,H22,C768-0048,10,10,m,22,8
SP40014,I22,C696-0821,10,10,m,22,9
SP40014,J22,C860-1008,10,10,m,22,10
SP40014,K22,D011-2083,10,10,m,22,11
SP40014,L22,D035-0093,10,10,m,22,12
SP40014,M22,D053-0328,10,10,m,22,13
SP40014,N22,D069-0339,10,10,m,22,14
SP40014,O22,D107-0264,10,10,m,22,15
SP40014,P22,D178-0051,10,10,m,22,16
