96 plate ID,96 plate number,96 well,384 plate ID,Plate Map,Well,Human Readable Name,MoleculeID,Concentration,Unit,Well X,Well Y
,Plate 4,D09,Amagata Dilution 01,SP90104,H18,111617,111617,0.390625,m,18,8
,Plate 3,D10,Amagata Dilution 01,SP90104,H19,110208,110208,0.390625,m,19,8
,Plate 4,D10,Amagata Dilution 01,SP90104,H20,908169,908169,0.390625,m,20,8
,Plate 3,D11,Amagata Dilution 01,SP90104,H21,130208,130208,0.390625,m,21,8
,Plate 4,D11,Amagata Dilution 01,SP90104,H22,90934,90934,0.390625,m,22,8
,Plate 1,E02,Amagata Dilution 01,SP90104,I03,130133,130133,50,m,3,9
,Plate 2,E02,Amagata Dilution 01,SP90104,I04,130134,130134,50,m,4,9
,Plate 1,E03,Amagata Dilution 01,SP90104,I05,120216,120216,50,m,5,9
,Plate 2,E03,Amagata Dilution 01,SP90104,I06,111057,111057,50,m,6,9
,Plate 1,E04,Amagata Dilution 01,SP90104,I07,110803,110803,50,m,7,9
,Plate 2,E04,Amagata Dilution 01,SP90104,I08,110816,110816,50,m,8,9
,Plate 1,E05,Amagata Dilution 01,SP90104,I09,110404,110404,50,m,9,9
,Plate 2,E05,Amagata Dilution 01,SP90104,I10,110805,110805,50,m,10,9
,Plate 3,E02,Amagata Dilution 01,SP90104,J03,130133,130133,25,m,3,10
,Plate 4,E02,Amagata Dilution 01,SP90104,J04,130134,130134,25,m,4,10
,Plate 3,E03,Amagata Dilution 01,SP90104,J05,120216,120216,25,m,5,10
,Plate 4,E03,Amagata Dilution 01,SP90104,J06,111057,111057,25,m,6,10
,Plate 3,E04,Amagata Dilution 01,SP90104,J07,110803,110803,25,m,7,10
,Plate 4,E04,Amagata Dilution 01,SP90104,J08,110816,110816,25,m,8,10
,Plate 3,E05,Amagata Dilution 01,SP90104,J09,110404,110404,25,m,9,10
,Plate 4,E05,Amagata Dilution 01,SP90104,J10,110805,110805,25,m,10,10
,Plate 1,F02,Amagata Dilution 01,SP90104,K03,130133,130133,12.5,m,3,11
,Plate 2,F02,Amagata Dilution 01,SP90104,K04,130134,130134,12.5,m,4,11
,Plate 1,F03,Amagata Dilution 01,SP90104,K05,120216,120216,12.5,m,5,11
,Plate 2,F03,Amagata Dilution 01,SP90104,K06,111057,111057,12.5,m,6,11
,Plate 1,F04,Amagata Dilution 01,SP90104,K07,110803,110803,12.5,m,7,11
