Plate Map,Plate Map,Well,Human Readable Name,MoleculeID,Concentration,Unit,Well X,Well Y
Lokey-JAS-01 & AF01,SP40179,J07,Y6Pyr,Y6Pyr,7.5,m,7,10,37.5
Lokey-JAS-01 & AF01,SP40179,J08,Y6Iso,Y6Iso,7.5,m,8,10,37.5
Lokey-JAS-01 & AF01,SP40179,J09,PhePA,PhePA,7.5,m,9,10,37.5
Lokey-JAS-01 & AF01,SP40179,J10,PhePB,PhePB,7.5,m,10,10,37.5
Lokey-JAS-01 & AF01,SP40179,J11,PhePC,PhePC,7.5,m,11,10,37.5
Lokey-JAS-01 & AF01,SP40179,J12,PhePD,PhePD,7.5,m,12,10,37.5
Lokey-JAS-01 & AF01,SP40179,J13,PhePAL,PhePAL,7.5,m,13,10,37.5
Lokey-JAS-01 & AF01,SP40179,J14,PhePBL,PhePBL,7.5,m,14,10,37.5
Lokey-JAS-01 & AF01,SP40179,J15,PhePCL,PhePCL,7.5,m,15,10,37.5
Lokey-JAS-01 & AF01,SP40179,J16,PhePDL,PhePDL,7.5,m,16,10,37.5
Lokey-JAS-01 & AF01,SP40179,J17,Antamanide,Antamanide,7.5,m,17,10,37.5
Lokey-JAS-01 & AF01,SP40179,J18,Cylindrocyclin,Cylindrocyclin,7.5,m,18,10,37.5
Lokey-JAS-01 & AF01,SP40179,J19,Cordyheptapeptide B,Cordyheptapeptide B,7.5,m,19,10,37.5
Lokey-JAS-01 & AF01,SP40179,J20,Aspergillicin D,Aspergillicin D,7.5,m,20,10,37.5
Lokey-JAS-01 & AF01,SP40179,J21,SpecialK B,SpecialK B,7.5,m,21,10,37.5
Lokey-JAS-01 & AF01,SP40179,K05,Y6Morph,Y6Morph,3.75,m,5,11,18.75
Lokey-JAS-01 & AF01,SP40179,K06,Y6TFMB,Y6TFMB,3.75,m,6,11,18.75
Lokey-JAS-01 & AF01,SP40179,K07,Y6Pyr,Y6Pyr,3.75,m,7,11,18.75
Lokey-JAS-01 & AF01,SP40179,K08,Y6Iso,Y6Iso,3.75,m,8,11,18.75
Lokey-JAS-01 & AF01,SP40179,K09,PhePA,PhePA,3.75,m,9,11,18.75
Lokey-JAS-01 & AF01,SP40179,K10,PhePB,PhePB,3.75,m,10,11,18.75
Lokey-JAS-01 & AF01,SP40179,K11,PhePC,PhePC,3.75,m,11,11,18.75
Lokey-JAS-01 & AF01,SP40179,K12,PhePD,PhePD,3.75,m,12,11,18.75
Lokey-JAS-01 & AF01,SP40179,K13,PhePAL,PhePAL,3.75,m,13,11,18.75
Lokey-JAS-01 & AF01,SP40179,K14,PhePBL,PhePBL,3.75,m,14,11,18.75
Lokey-JAS-01 & AF01,SP40179,K15,PhePCL,PhePCL,3.75,m,15,11,18.75
Lokey-JAS-01 & AF01,SP40179,K16,PhePDL,PhePDL,3.75,m,16,11,18.75
Lokey-JAS-01 & AF01,SP40179,K17,Antamanide,Antamanide,3.75,m,17,11,18.75
Lokey-JAS-01 & AF01,SP40179,K18,Cylindrocyclin,Cylindrocyclin,3.75,m,18,11,18.75
