96 Plate ID,96 plate number,96 Well,384 Plate ID,Plate Map,Well,Human Readable Name,MoleculeID,Concentration,Unit,Well X,Well Y
HHDilMay2015,2,E06,HHDilMay2015,SP20262,I12,1867F16-8-2_1,1867F16-8-2_1,-1,m,12,9
Biosortia_Musk2014.09.A_10 ,1,E07,Biosortia_Musk2014.09.A_10 ,SP20262,I13,C-2080-D-44,C-2080-D-44,-1,m,13,9
HHDilMay2015,2,E07,HHDilMay2015,SP20262,I14,1867F16-8-4_1,1867F16-8-4_1,-1,m,14,9
Biosortia_Musk2014.09.A_10 ,1,E08,Biosortia_Musk2014.09.A_10 ,SP20262,I15,C-2080-D-52,C-2080-D-52,-1,m,15,9
HHDilMay2015,2,E08,HHDilMay2015,SP20262,I16,1867F16-8-7_1,1867F16-8-7_1,-1,m,16,9
Biosortia_Musk2014.09.A_10 ,1,E09,Biosortia_Musk2014.09.A_10 ,SP20262,I17,C-2080-D-61,C-2080-D-61,-1,m,17,9
HHDilMay2015,2,E09,HHDilMay2015,SP20262,I18,1867F16-8-10_1,1867F16-8-10_1,-1,m,18,9
Biosortia_Musk2014.09.A_10 ,1,E10,Biosortia_Musk2014.09.A_10 ,SP20262,I19,C-2080-Z-03,C-2080-Z-03,-1,m,19,9
HHDilMay2015,2,E10,HHDilMay2015,SP20262,I20,1867F16-9-2_850,1867F16-9-2_850,-1,m,20,9
Biosortia_Musk2014.09.A_10 ,1,E11,Biosortia_Musk2014.09.A_10 ,SP20262,I21,C-2080-Z-13,C-2080-Z-13,-1,m,21,9
HHDilMay2015,2,E11,HHDilMay2015,SP20262,I22,1867F16-9-4_250,1867F16-9-4_250,-1,m,22,9
Biosortia_Musk2014.09.B_10,3,E02,Biosortia_Musk2014.09.B_10,SP20262,J03,C-2080-O-04_05,C-2080-O-04_05,-1,m,3,10
HHDilMay2015,4,E02,HHDilMay2015,SP20262,J04,1867F16-10.2_200,1867F16-10.2_200,-1,m,4,10
Biosortia_Musk2014.09.B_10,3,E03,Biosortia_Musk2014.09.B_10,SP20262,J05,C-2080-O-13,C-2080-O-13,-1,m,5,10
HHDilMay2015,4,E03,HHDilMay2015,SP20262,J06,1867F16-10.4_0.5,1867F16-10.4_0.5,-1,m,6,10
Biosortia_Musk2014.09.B_10,3,E04,Biosortia_Musk2014.09.B_10,SP20262,J07,C-2080-O-21,C-2080-O-21,-1,m,7,10
HHDilMay2015,4,E04,HHDilMay2015,SP20262,J08,1867F16-10.8_400,1867F16-10.8_400,-1,m,8,10
Biosortia_Musk2014.09.B_10,3,E05,Biosortia_Musk2014.09.B_10,SP20262,J09,C-2080-O-29,C-2080-O-29,-1,m,9,10
HHDilMay2015,4,E05,HHDilMay2015,SP20262,J10,1867F16-10.10_150,1867F16-10.10_150,-1,m,10,10
Biosortia_Musk2014.09.B_10,3,E06,Biosortia_Musk2014.09.B_10,SP20262,J11,C-2080-O-37,C-2080-O-37,-1,m,11,10
HHDilMay2015,4,E06,HHDilMay2015,SP20262,J12,1867F16-8-2_0.5,1867F16-8-2_0.5,-1,m,12,10
Biosortia_Musk2014.09.B_10,3,E07,Biosortia_Musk2014.09.B_10,SP20262,J13,C-2080-O-45,C-2080-O-45,-1,m,13,10
