384 plate ID,Plate Map,Well,Human Readable Name,MoleculeID,Concentration,Unit
BL_I_157_2ndGen,SP20231,K20,BL-I-145,BL-I-145,3.90625,m
BL_I_157_2ndGen,SP20231,K21,BL-I-135,BL-I-135,3.90625,m
BL_I_157_2ndGen,SP20231,K22,BL-I-150,BL-I-150,3.90625,m
BL_I_157_2ndGen,SP20231,L03,BL-I-130,BL-I-130,0.061035156,m
BL_I_157_2ndGen,SP20231,L04,BL-I-131,BL-I-131,0.061035156,m
BL_I_157_2ndGen,SP20231,L05,BL-I-132,BL-I-132,0.061035156,m
BL_I_157_2ndGen,SP20231,L06,BL-I-152,BL-I-152,0.030517578,m
BL_I_157_2ndGen,SP20231,L07,BL-I-155,BL-I-155,0.061035156,m
BL_I_157_2ndGen,SP20231,L08,BL-I-108,BL-I-108,0.061035156,m
BL_I_157_2ndGen,SP20231,L09,BL-I-136,BL-I-136,0.061035156,m
BL_I_157_2ndGen,SP20231,L10,BL-I-142,BL-I-142,0.061035156,m
BL_I_157_2ndGen,SP20231,L11,BL-I-151,BL-I-151,0.061035156,m
BL_I_157_2ndGen,SP20231,L12,BL-I-148,BL-I-148,0.061035156,m
BL_I_157_2ndGen,SP20231,L13,BL_I_171,BL_I_171,0.004669189,m
BL_I_157_2ndGen,SP20231,L14,BL_I_162,BL_I_162,1.953125,m
BL_I_157_2ndGen,SP20231,L15,BL_I_161,BL_I_161,1.953125,m
BL_I_157_2ndGen,SP20231,L16,BL_I_160,BL_I_160,3.90625,m
BL_I_157_2ndGen,SP20231,L17,BL-I-156-483,BL-I-156-483,7.8125,m
BL_I_157_2ndGen,SP20231,L18,BL-I-156-373,BL-I-156-373,7.8125,m
BL_I_157_2ndGen,SP20231,L19,BL-I-153,BL-I-153,7.8125,m
BL_I_157_2ndGen,SP20231,L20,BL-I-145,BL-I-145,7.8125,m
BL_I_157_2ndGen,SP20231,L21,BL-I-135,BL-I-135,7.8125,m
BL_I_157_2ndGen,SP20231,L22,BL-I-150,BL-I-150,7.8125,m
BL_I_157_2ndGen,SP20231,M03,BL-I-130,BL-I-130,0.030517578,m
BL_I_157_2ndGen,SP20231,M04,BL-I-131,BL-I-131,0.030517578,m
BL_I_157_2ndGen,SP20231,M05,BL-I-132,BL-I-132,0.030517578,m
BL_I_157_2ndGen,SP20231,M06,BL-I-152,BL-I-152,0.015258789,m
BL_I_157_2ndGen,SP20231,M07,BL-I-155,BL-I-155,0.030517578,m
BL_I_157_2ndGen,SP20231,M08,BL-I-108,BL-I-108,0.030517578,m
BL_I_157_2ndGen,SP20231,M09,BL-I-136,BL-I-136,0.030517578,m
BL_I_157_2ndGen,SP20231,M10,BL-I-142,BL-I-142,0.030517578,m
BL_I_157_2ndGen,SP20231,M11,BL-I-151,BL-I-151,0.030517578,m
BL_I_157_2ndGen,SP20231,M12,BL-I-148,BL-I-148,0.030517578,m
BL_I_157_2ndGen,SP20231,M13,BL_I_171,BL_I_171,0.002334595,m
BL_I_157_2ndGen,SP20231,M14,BL_I_162,BL_I_162,3.90625,m
BL_I_157_2ndGen,SP20231,M15,BL_I_161,BL_I_161,3.90625,m
BL_I_157_2ndGen,SP20231,M16,BL_I_160,BL_I_160,7.8125,m
